league,season,snapshot_date,club_name,external_club_id,native_club_id,team_type,status,source_url,source_sha256
ESP1,2026/27,2026-09-12,Celta Vigo,940,2949159,FIRST,CONFIRMED,https://www.laliga.com/laliga-easports/clubes,7dc21d905da42305ef7100901e7bda02619b96c2e8826d91ed8b94979b7e7456
ESP1,2026/27,2026-09-12,Deportivo A Coruña,897,2949127,FIRST,CONFIRMED,https://www.laliga.com/laliga-easports/clubes,7dc21d905da42305ef7100901e7bda02619b96c2e8826d91ed8b94979b7e7456
ESP1,2026/27,2026-09-12,Deportivo Alavés,1108,2949141,FIRST,CONFIRMED,https://www.laliga.com/laliga-easports/clubes,7dc21d905da42305ef7100901e7bda02619b96c2e8826d91ed8b94979b7e7456
ESP1,2026/27,2026-09-12,Espanyol Barcelona,714,2949125,FIRST,CONFIRMED,https://www.laliga.com/laliga-easports/clubes,7dc21d905da42305ef7100901e7bda02619b96c2e8826d91ed8b94979b7e7456
ESP1,2026/27,2026-09-12,FC Barcelona,131,2949124,FIRST,CONFIRMED,https://www.laliga.com/laliga-easports/clubes,7dc21d905da42305ef7100901e7bda02619b96c2e8826d91ed8b94979b7e7456
ESP1,2026/27,2026-09-12,FC Elche,1531,2949148,FIRST,CONFIRMED,https://www.laliga.com/laliga-easports/clubes,7dc21d905da42305ef7100901e7bda02619b96c2e8826d91ed8b94979b7e7456
ESP1,2026/27,2026-09-12,FC Getafe,3709,2949126,FIRST,CONFIRMED,https://www.laliga.com/laliga-easports/clubes,7dc21d905da42305ef7100901e7bda02619b96c2e8826d91ed8b94979b7e7456
ESP1,2026/27,2026-09-12,FC Málaga,1084,2949129,FIRST,CONFIRMED,https://www.laliga.com/laliga-easports/clubes,7dc21d905da42305ef7100901e7bda02619b96c2e8826d91ed8b94979b7e7456
ESP1,2026/27,2026-09-12,FC Sevilla,368,2949138,FIRST,CONFIRMED,https://www.laliga.com/laliga-easports/clubes,7dc21d905da42305ef7100901e7bda02619b96c2e8826d91ed8b94979b7e7456
ESP1,2026/27,2026-09-12,FC Valencia,1049,2949139,FIRST,CONFIRMED,https://www.laliga.com/laliga-easports/clubes,7dc21d905da42305ef7100901e7bda02619b96c2e8826d91ed8b94979b7e7456
ESP1,2026/27,2026-09-12,FC Villarreal,1050,2949140,FIRST,CONFIRMED,https://www.laliga.com/laliga-easports/clubes,7dc21d905da42305ef7100901e7bda02619b96c2e8826d91ed8b94979b7e7456
ESP1,2026/27,2026-09-12,Racing Santander,630,2949137,FIRST,CONFIRMED,https://www.laliga.com/laliga-easports/clubes,7dc21d905da42305ef7100901e7bda02619b96c2e8826d91ed8b94979b7e7456
ESP1,2026/27,2026-09-12,Rayo Vallecano,367,2949171,FIRST,CONFIRMED,https://www.laliga.com/laliga-easports/clubes,7dc21d905da42305ef7100901e7bda02619b96c2e8826d91ed8b94979b7e7456
ESP1,2026/27,2026-09-12,Real Betis Sevilla,150,2949133,FIRST,CONFIRMED,https://www.laliga.com/laliga-easports/clubes,7dc21d905da42305ef7100901e7bda02619b96c2e8826d91ed8b94979b7e7456
ESP1,2026/27,2026-09-12,Real Madrid,418,2949134,FIRST,CONFIRMED,https://www.laliga.com/laliga-easports/clubes,7dc21d905da42305ef7100901e7bda02619b96c2e8826d91ed8b94979b7e7456
ESP1,2026/27,2026-09-12,Real Sociedad San Sebastián,681,2949135,FIRST,CONFIRMED,https://www.laliga.com/laliga-easports/clubes,7dc21d905da42305ef7100901e7bda02619b96c2e8826d91ed8b94979b7e7456
ESP1,2026/27,2026-09-12,UD Levante,3368,2949128,FIRST,CONFIRMED,https://www.laliga.com/laliga-easports/clubes,7dc21d905da42305ef7100901e7bda02619b96c2e8826d91ed8b94979b7e7456
GER1,2026/27,2026-09-12,1.FC Köln,3,1376275,FIRST,CONFIRMED,https://www.bundesliga.com/de/bundesliga/clubs?firsttab=kader,412ffdeb06c1d77fcf37c1f21e59412b59a0f519c7fa61732fffcb7d5fb5b8e5
GER1,2026/27,2026-09-12,1.FC Union Berlin,89,1376348,FIRST,CONFIRMED,https://www.bundesliga.com/de/bundesliga/clubs?firsttab=kader,412ffdeb06c1d77fcf37c1f21e59412b59a0f519c7fa61732fffcb7d5fb5b8e5
GER1,2026/27,2026-09-12,1.FSV Mainz 05,39,1376259,FIRST,CONFIRMED,https://www.bundesliga.com/de/bundesliga/clubs?firsttab=kader,412ffdeb06c1d77fcf37c1f21e59412b59a0f519c7fa61732fffcb7d5fb5b8e5
GER1,2026/27,2026-09-12,Bayer 04 Leverkusen,15,1376261,FIRST,CONFIRMED,https://www.bundesliga.com/de/bundesliga/clubs?firsttab=kader,412ffdeb06c1d77fcf37c1f21e59412b59a0f519c7fa61732fffcb7d5fb5b8e5
GER1,2026/27,2026-09-12,Borussia Dortmund,16,1376262,FIRST,CONFIRMED,https://www.bundesliga.com/de/bundesliga/clubs?firsttab=kader,412ffdeb06c1d77fcf37c1f21e59412b59a0f519c7fa61732fffcb7d5fb5b8e5
GER1,2026/27,2026-09-12,Borussia Mönchengladbach,18,1376263,FIRST,CONFIRMED,https://www.bundesliga.com/de/bundesliga/clubs?firsttab=kader,412ffdeb06c1d77fcf37c1f21e59412b59a0f519c7fa61732fffcb7d5fb5b8e5
GER1,2026/27,2026-09-12,Eintracht Frankfurt,24,1376279,FIRST,CONFIRMED,https://www.bundesliga.com/de/bundesliga/clubs?firsttab=kader,412ffdeb06c1d77fcf37c1f21e59412b59a0f519c7fa61732fffcb7d5fb5b8e5
GER1,2026/27,2026-09-12,FC Augsburg,167,1376431,FIRST,CONFIRMED,https://www.bundesliga.com/de/bundesliga/clubs?firsttab=kader,412ffdeb06c1d77fcf37c1f21e59412b59a0f519c7fa61732fffcb7d5fb5b8e5
GER1,2026/27,2026-09-12,FC Bayern München,27,1376264,FIRST,CONFIRMED,https://www.bundesliga.com/de/bundesliga/clubs?firsttab=kader,412ffdeb06c1d77fcf37c1f21e59412b59a0f519c7fa61732fffcb7d5fb5b8e5
GER1,2026/27,2026-09-12,FC Schalke 04,33,1376266,FIRST,CONFIRMED,https://www.bundesliga.com/de/bundesliga/clubs?firsttab=kader,412ffdeb06c1d77fcf37c1f21e59412b59a0f519c7fa61732fffcb7d5fb5b8e5
GER1,2026/27,2026-09-12,Hamburger SV,41,1376267,FIRST,CONFIRMED,https://www.bundesliga.com/de/bundesliga/clubs?firsttab=kader,412ffdeb06c1d77fcf37c1f21e59412b59a0f519c7fa61732fffcb7d5fb5b8e5
GER1,2026/27,2026-09-12,RB Leipzig,23826,1376555,FIRST,CONFIRMED,https://www.bundesliga.com/de/bundesliga/clubs?firsttab=kader,412ffdeb06c1d77fcf37c1f21e59412b59a0f519c7fa61732fffcb7d5fb5b8e5
GER1,2026/27,2026-09-12,SC Freiburg,60,1376270,FIRST,CONFIRMED,https://www.bundesliga.com/de/bundesliga/clubs?firsttab=kader,412ffdeb06c1d77fcf37c1f21e59412b59a0f519c7fa61732fffcb7d5fb5b8e5
GER1,2026/27,2026-09-12,SC Paderborn 07,127,1376421,FIRST,CONFIRMED,https://www.bundesliga.com/de/bundesliga/clubs?firsttab=kader,412ffdeb06c1d77fcf37c1f21e59412b59a0f519c7fa61732fffcb7d5fb5b8e5
GER1,2026/27,2026-09-12,SV 07 Elversberg,64,1376432,FIRST,CONFIRMED,https://www.bundesliga.com/de/bundesliga/clubs?firsttab=kader,412ffdeb06c1d77fcf37c1f21e59412b59a0f519c7fa61732fffcb7d5fb5b8e5
GER1,2026/27,2026-09-12,SV Werder Bremen,86,1376271,FIRST,CONFIRMED,https://www.bundesliga.com/de/bundesliga/clubs?firsttab=kader,412ffdeb06c1d77fcf37c1f21e59412b59a0f519c7fa61732fffcb7d5fb5b8e5
GER1,2026/27,2026-09-12,TSG 1899 Hoffenheim,533,1376433,FIRST,CONFIRMED,https://www.bundesliga.com/de/bundesliga/clubs?firsttab=kader,412ffdeb06c1d77fcf37c1f21e59412b59a0f519c7fa61732fffcb7d5fb5b8e5
GER1,2026/27,2026-09-12,VfB Stuttgart,79,1376272,FIRST,CONFIRMED,https://www.bundesliga.com/de/bundesliga/clubs?firsttab=kader,412ffdeb06c1d77fcf37c1f21e59412b59a0f519c7fa61732fffcb7d5fb5b8e5
FRA1,2026/27,2026-09-12,AJ Auxerre,290,1179654,FIRST,CONFIRMED,https://ligue1.com/fr/articles/l1_article_5284-,9405a33e7f9c2435db67bfbc806ca4eac7cd73463ba2032bc589f13d442f0685
FRA1,2026/27,2026-09-12,AS Monaco,162,1179655,FIRST,CONFIRMED,https://ligue1.com/fr/articles/l1_article_5284-,9405a33e7f9c2435db67bfbc806ca4eac7cd73463ba2032bc589f13d442f0685
FRA1,2026/27,2026-09-12,Angers SCO,1420,1179782,FIRST,CONFIRMED,https://ligue1.com/fr/articles/l1_article_5284-,9405a33e7f9c2435db67bfbc806ca4eac7cd73463ba2032bc589f13d442f0685
FRA1,2026/27,2026-09-12,ESTAC Troyes,1095,1179683,FIRST,CONFIRMED,https://ligue1.com/fr/articles/l1_article_5284-,9405a33e7f9c2435db67bfbc806ca4eac7cd73463ba2032bc589f13d442f0685
FRA1,2026/27,2026-09-12,FC Le Mans,1164,1179682,FIRST,CONFIRMED,https://ligue1.com/fr/articles/l1_article_5284-,9405a33e7f9c2435db67bfbc806ca4eac7cd73463ba2032bc589f13d442f0685
FRA1,2026/27,2026-09-12,FC Lorient,1158,1179673,FIRST,CONFIRMED,https://ligue1.com/fr/articles/l1_article_5284-,9405a33e7f9c2435db67bfbc806ca4eac7cd73463ba2032bc589f13d442f0685
FRA1,2026/27,2026-09-12,FC Stade Rennes,273,1179656,FIRST,CONFIRMED,https://ligue1.com/fr/articles/l1_article_5284-,9405a33e7f9c2435db67bfbc806ca4eac7cd73463ba2032bc589f13d442f0685
FRA1,2026/27,2026-09-12,FC Toulouse,415,1179657,FIRST,CONFIRMED,https://ligue1.com/fr/articles/l1_article_5284-,9405a33e7f9c2435db67bfbc806ca4eac7cd73463ba2032bc589f13d442f0685
FRA1,2026/27,2026-09-12,LOSC Lille,1082,1179665,FIRST,CONFIRMED,https://ligue1.com/fr/articles/l1_article_5284-,9405a33e7f9c2435db67bfbc806ca4eac7cd73463ba2032bc589f13d442f0685
FRA1,2026/27,2026-09-12,Le Havre AC,738,1179681,FIRST,CONFIRMED,https://ligue1.com/fr/articles/l1_article_5284-,9405a33e7f9c2435db67bfbc806ca4eac7cd73463ba2032bc589f13d442f0685
FRA1,2026/27,2026-09-12,OGC Nizza,417,1179666,FIRST,CONFIRMED,https://ligue1.com/fr/articles/l1_article_5284-,9405a33e7f9c2435db67bfbc806ca4eac7cd73463ba2032bc589f13d442f0685
