league,club,club_tm_id,players,status,source
ITA1,Udinese Calcio,410,27,CAPTURED,https://www.transfermarkt.de/udinese-calcio/kader/verein/410/saison_id/2026/plus/1
ITA1,US Sassuolo,6574,34,CAPTURED,https://www.transfermarkt.de/us-sassuolo/kader/verein/6574/saison_id/2026/plus/1
ITA1,FC Turin,416,29,CAPTURED,https://www.transfermarkt.de/fc-turin/kader/verein/416/saison_id/2026/plus/1
ITA1,Parma Calcio 1913,130,28,CAPTURED,https://www.transfermarkt.de/parma-calcio-1913/kader/verein/130/saison_id/2026/plus/1
ITA1,Cagliari Calcio,1390,30,CAPTURED,https://www.transfermarkt.de/cagliari-calcio/kader/verein/1390/saison_id/2026/plus/1
ITA1,AC Florenz,430,25,CAPTURED,https://www.transfermarkt.de/ac-florenz/kader/verein/430/saison_id/2026/plus/1
ITA1,Genua CFC,252,31,CAPTURED,https://www.transfermarkt.de/genua-cfc/kader/verein/252/saison_id/2026/plus/1
ITA1,US Lecce,1005,34,CAPTURED,https://www.transfermarkt.de/us-lecce/kader/verein/1005/saison_id/2026/plus/1
ITA1,Venezia FC,607,36,CAPTURED,https://www.transfermarkt.de/venezia-fc/kader/verein/607/saison_id/2026/plus/1
ITA1,Frosinone Calcio,8970,30,CAPTURED,https://www.transfermarkt.de/frosinone-calcio/kader/verein/8970/saison_id/2026/plus/1
ITA1,AC Monza,2919,31,CAPTURED,https://www.transfermarkt.de/ac-monza/kader/verein/2919/saison_id/2026/plus/1
NED1,ADO Den Haag,1268,28,CAPTURED,https://www.transfermarkt.de/ado-den-haag/kader/verein/1268/saison_id/2026/plus/1
NED1,Ajax Amsterdam,610,27,CAPTURED,https://www.transfermarkt.de/ajax-amsterdam/kader/verein/610/saison_id/2026/plus/1
NED1,AZ Alkmaar,1090,29,CAPTURED,https://www.transfermarkt.de/az-alkmaar/kader/verein/1090/saison_id/2026/plus/1
NED1,Excelsior Rotterdam,798,25,CAPTURED,https://www.transfermarkt.de/excelsior-rotterdam/kader/verein/798/saison_id/2026/plus/1
NED1,FC Groningen,202,28,CAPTURED,https://www.transfermarkt.de/fc-groningen/kader/verein/202/saison_id/2026/plus/1
NED1,FC Twente Enschede,317,27,CAPTURED,https://www.transfermarkt.de/fc-twente-enschede/kader/verein/317/saison_id/2026/plus/1
NED1,FC Utrecht,200,31,CAPTURED,https://www.transfermarkt.de/fc-utrecht/kader/verein/200/saison_id/2026/plus/1
NED1,Feyenoord Rotterdam,234,31,CAPTURED,https://www.transfermarkt.de/feyenoord-rotterdam/kader/verein/234/saison_id/2026/plus/1
NED1,Fortuna Sittard,385,23,CAPTURED,https://www.transfermarkt.de/fortuna-sittard/kader/verein/385/saison_id/2026/plus/1
NED1,Go Ahead Eagles Deventer,1435,29,CAPTURED,https://www.transfermarkt.de/go-ahead-eagles-deventer/kader/verein/1435/saison_id/2026/plus/1
NED1,NEC Nijmegen,467,30,CAPTURED,https://www.transfermarkt.de/nec-nijmegen/kader/verein/467/saison_id/2026/plus/1
NED1,PEC Zwolle,1269,26,CAPTURED,https://www.transfermarkt.de/pec-zwolle/kader/verein/1269/saison_id/2026/plus/1
NED1,PSV Eindhoven,383,31,CAPTURED,https://www.transfermarkt.de/psv-eindhoven/kader/verein/383/saison_id/2026/plus/1
NED1,SC Cambuur Leeuwarden,133,28,CAPTURED,https://www.transfermarkt.de/sc-cambuur-leeuwarden/kader/verein/133/saison_id/2026/plus/1
NED1,SC Heerenveen,306,25,CAPTURED,https://www.transfermarkt.de/sc-heerenveen/kader/verein/306/saison_id/2026/plus/1
NED1,Sparta Rotterdam,468,25,CAPTURED,https://www.transfermarkt.de/sparta-rotterdam/kader/verein/468/saison_id/2026/plus/1
NED1,SC Telstar,1434,27,CAPTURED,https://www.transfermarkt.de/sc-telstar/kader/verein/1434/saison_id/2026/plus/1
NED1,Willem II Tilburg,403,29,CAPTURED,https://www.transfermarkt.de/willem-ii-tilburg/kader/verein/403/saison_id/2026/plus/1
POR1,FC Porto,720,28,CAPTURED,https://www.transfermarkt.de/fc-porto/kader/verein/720/saison_id/2026/plus/1
POR1,Sporting Lissabon,336,29,CAPTURED,https://www.transfermarkt.de/sporting-lissabon/kader/verein/336/saison_id/2026/plus/1
POR1,Benfica Lissabon,294,27,CAPTURED,https://www.transfermarkt.de/benfica-lissabon/kader/verein/294/saison_id/2026/plus/1
POR1,SC Braga,1075,27,CAPTURED,https://www.transfermarkt.de/sc-braga/kader/verein/1075/saison_id/2026/plus/1
POR1,FC Famalicão,3329,26,CAPTURED,https://www.transfermarkt.de/fc-famalicao/kader/verein/3329/saison_id/2026/plus/1
POR1,Gil Vicente FC,2424,30,CAPTURED,https://www.transfermarkt.de/gil-vicente-fc/kader/verein/2424/saison_id/2026/plus/1
POR1,Moreirense FC,979,30,CAPTURED,https://www.transfermarkt.de/moreirense-fc/kader/verein/979/saison_id/2026/plus/1
POR1,FC Arouca,8024,27,CAPTURED,https://www.transfermarkt.de/fc-arouca/kader/verein/8024/saison_id/2026/plus/1
POR1,Vitória Guimarães SC,2420,30,CAPTURED,https://www.transfermarkt.de/vitoria-guimaraes-sc/kader/verein/2420/saison_id/2026/plus/1
POR1,GD Estoril Praia,1465,29,CAPTURED,https://www.transfermarkt.de/gd-estoril-praia/kader/verein/1465/saison_id/2026/plus/1
POR1,FC Alverca,2521,34,CAPTURED,https://www.transfermarkt.de/fc-alverca/kader/verein/2521/saison_id/2026/plus/1
POR1,Rio Ave FC,2425,36,CAPTURED,https://www.transfermarkt.de/rio-ave-fc/kader/verein/2425/saison_id/2026/plus/1
POR1,CD Santa Clara,2423,27,CAPTURED,https://www.transfermarkt.de/cd-santa-clara/kader/verein/2423/saison_id/2026/plus/1
POR1,CD Nacional,982,33,CAPTURED,https://www.transfermarkt.de/cd-nacional/kader/verein/982/saison_id/2026/plus/1
POR1,CF Estrela Amadora,2431,30,CAPTURED,https://www.transfermarkt.de/cf-estrela-amadora/kader/verein/2431/saison_id/2026/plus/1
POR1,Casa Pia AC,3268,29,CAPTURED,https://www.transfermarkt.de/casa-pia-ac/kader/verein/3268/saison_id/2026/plus/1
POR1,CS Marítimo,1301,31,CAPTURED,https://www.transfermarkt.de/cs-maritimo/kader/verein/1301/saison_id/2026/plus/1
POR1,Académico Viseu FC,7788,30,CAPTURED,https://www.transfermarkt.de/academico-viseu-fc/kader/verein/7788/saison_id/2026/plus/1
TUR1,Galatasaray,141,32,CAPTURED,https://www.transfermarkt.de/galatasaray/kader/verein/141/saison_id/2026/plus/1
TUR1,Fenerbahce,36,28,CAPTURED,https://www.transfermarkt.de/fenerbahce/kader/verein/36/saison_id/2026/plus/1
TUR1,Trabzonspor,449,30,CAPTURED,https://www.transfermarkt.de/trabzonspor/kader/verein/449/saison_id/2026/plus/1
TUR1,Besiktas JK,114,31,CAPTURED,https://www.transfermarkt.de/besiktas-jk/kader/verein/114/saison_id/2026/plus/1
TUR1,Basaksehir FK,6890,32,CAPTURED,https://www.transfermarkt.de/basaksehir-fk/kader/verein/6890/saison_id/2026/plus/1
TUR1,Göztepe,1467,26,CAPTURED,https://www.transfermarkt.de/goztepe/kader/verein/1467/saison_id/2026/plus/1
TUR1,Samsunspor,152,29,CAPTURED,https://www.transfermarkt.de/samsunspor/kader/verein/152/saison_id/2026/plus/1
TUR1,Caykur Rizespor,126,29,CAPTURED,https://www.transfermarkt.de/caykur-rizespor/kader/verein/126/saison_id/2026/plus/1
TUR1,Konyaspor,2293,28,CAPTURED,https://www.transfermarkt.de/konyaspor/kader/verein/2293/saison_id/2026/plus/1
TUR1,Kocaelispor,120,29,CAPTURED,https://www.transfermarkt.de/kocaelispor/kader/verein/120/saison_id/2026/plus/1
TUR1,Alanyaspor,11282,27,CAPTURED,https://www.transfermarkt.de/alanyaspor/kader/verein/11282/saison_id/2026/plus/1
TUR1,Gaziantep FK,2832,33,CAPTURED,https://www.transfermarkt.de/gaziantep-fk/kader/verein/2832/saison_id/2026/plus/1
TUR1,Kasimpasa,10484,32,CAPTURED,https://www.transfermarkt.de/kasimpasa/kader/verein/10484/saison_id/2026/plus/1
TUR1,Genclerbirligi Ankara,820,30,CAPTURED,https://www.transfermarkt.de/genclerbirligi-ankara/kader/verein/820/saison_id/2026/plus/1
TUR1,Eyüpspor,7160,28,CAPTURED,https://www.transfermarkt.de/eyupspor/kader/verein/7160/saison_id/2026/plus/1
TUR1,Erzurumspor FK,39722,28,CAPTURED,https://www.transfermarkt.de/erzurumspor-fk/kader/verein/39722/saison_id/2026/plus/1
TUR1,Amed SK,12382,28,CAPTURED,https://www.transfermarkt.de/amed-sk/kader/verein/12382/saison_id/2026/plus/1
TUR1,Corum FK,37951,29,CAPTURED,https://www.transfermarkt.de/corum-fk/kader/verein/37951/saison_id/2026/plus/1
